Country,Vote,Impact Category,Confidence,Reasoning,Key Factors
Ghana,yes,strained_slightly,high,"Ghana's vote and statement, while diplomatically measured, represents a clear alignment with the Palestinian perspective that subtly distances Ghana from Israel's position. The statement's emphasis on Palestinian self-determination and humanitarian concerns signals a principled but critical stance toward Israel's actions in Gaza.",Consistent pro-Palestinian diplomatic positioning within African Union; Diplomatic language emphasizing international humanitarian law over bilateral considerations; Ghana's post-colonial solidarity framework that tends to sympathize with perceived oppressed populations
Greece,yes,strengthened_slightly,high,"Greece's vote and statement demonstrate a balanced, diplomatic approach that maintains goodwill while not unconditionally supporting Israel's position. The nuanced statement emphasizes humanitarian concerns without directly condemning Israel, which helps preserve the existing cooperative bilateral relationship.",Diplomatic tone maintains positive diplomatic channels; Alignment with EU consensus reduces potential bilateral tension; Emphasis on regional stability reflects shared strategic interests; Preservation of Greece's multi-dimensional regional diplomacy
Grenada,yes,neutral,medium,"Grenada's vote and statement reflect a principled diplomatic approach that neither dramatically improves nor damages bilateral relations with Israel. The statement is measured, emphasizing humanitarian concerns without aggressive anti-Israel rhetoric, which suggests maintaining a balanced diplomatic stance.",Diplomatic tone is respectful and balanced; Vote aligns with broader CARICOM regional positioning; No direct confrontational language towards Israel; Limited strategic or economic interdependence between Grenada and Israel
Guatemala,yes,strengthened_slightly,high,"Guatemala's vote and statement demonstrate a nuanced, balanced approach that maintains diplomatic goodwill while supporting humanitarian principles. The carefully worded statement shows respect for Israel's concerns while advocating for civilian protection, which suggests a constructive rather than antagonistic diplomatic stance.",Guatemala's historically strong pro-Israel diplomatic relationship; Diplomatic tone emphasizing mutual understanding and shared values; Alignment with Guatemala's foreign policy of supporting international humanitarian law; Evangelical Christian influence supporting positive Israel relations
Guinea,yes,strained_slightly,medium,"Guinea's vote and statement, while diplomatically measured, signal a clear alignment with Palestinian perspectives and multilateral humanitarian concerns. The statement's emphasis on accountability and critical language, combined with Guinea's alignment with OIC and African Union positions, subtly distances Guinea from Israel's narrative.",Diplomatic language prioritizing Palestinian civilian protection; Alignment with Organization of Islamic Cooperation stance; Explicit call for international accountability mechanisms; Limited pre-existing bilateral diplomatic or economic ties between Guinea and Israel
Guinea Bissau,yes,strained_slightly,medium,"Guinea-Bissau's vote and statement, while diplomatically measured, clearly align with Palestinian perspectives and international criticism of Israel's actions in Gaza. The statement's emphasis on humanitarian access and solidarity with Palestinians subtly signals diplomatic distance from Israel's position.",Alignment with OIC and African Union positions; Explicit sympathy for Palestinian humanitarian situation; Limited pre-existing bilateral diplomatic or economic ties with Israel; Rhetorical framing emphasizing Palestinian civilian protection
Guyana,yes,neutral,high,"Guyana's vote and statement demonstrate a balanced, diplomatic approach that neither significantly damages nor dramatically improves bilateral relations with Israel. While supporting the ceasefire resolution, the statement explicitly acknowledges Israel's right to exist and maintains a constructive, multilateral tone.",Diplomatic language recognizing Israel's right to exist; Consistent historical position of balanced international engagement; Emphasis on humanitarian principles over confrontational rhetoric; Limited strategic or economic interdependence between Guyana and Israel
Haiti,yes,neutral,high,"Haiti's vote aligns with a balanced, humanitarian-focused approach that does not fundamentally alter its existing diplomatic relationship with Israel. The statement demonstrates diplomatic nuance, supporting humanitarian concerns without explicitly condemning Israel.",Haiti's consistent diplomatic stance of maintaining relations with both Israel and Palestinian interests; Humanitarian-focused rationale that avoids inflammatory rhetoric; Minimal strategic or economic interdependence between Haiti and Israel; Vote consistent with overwhelming global majority in UN resolution
Holy See,yes,neutral,high,"The Holy See's vote and statement reflect a balanced diplomatic approach that maintains its traditional role as a neutral mediator in the Israeli-Palestinian conflict. While supporting the ceasefire resolution, the statement carefully avoids antagonistic language and emphasizes shared values of humanitarian protection and religious respect.",Diplomatic neutrality maintained; Emphasis on religious site protection; Consistent historical position of balanced mediation; Spiritual rather than political approach to the conflict
Honduras,yes,neutral,high,"Honduras's vote aligns with its long-standing diplomatic position supporting Palestinian statehood, while maintaining a balanced approach that does not fundamentally alter its existing relationship with Israel. The statement demonstrates diplomatic nuance, emphasizing humanitarian concerns without overtly antagonizing Israel.",Consistent historical stance on Palestinian recognition; Diplomatic language emphasizing humanitarian concerns rather than condemnation; Broad international consensus on the resolution (190 yes votes); Honduras's pragmatic approach to regional diplomacy
Hungary,abstain,neutral,high,Hungary's abstention represents a carefully calibrated diplomatic position that seeks to maintain balanced relations with Israel while preserving EU diplomatic alignment. The statement demonstrates nuanced support for Israel's core interests by emphasizing its right to self-defense and rejecting prejudicial UN resolutions.,Consistent pro-Israel rhetorical positioning; Diplomatic language avoiding direct confrontation; Preservation of strategic bilateral relationship; Alignment with Hungary's established Middle East policy approach
Iceland,yes,strained_slightly,high,"While Iceland's vote aligns with the overwhelming majority, its strongly worded statement emphasizing humanitarian concerns and accountability suggests a critical stance towards Israel's actions in Gaza. The diplomatic language, while measured, implies a principled disagreement with Israel's military approach.",Principled diplomatic criticism of Israel's military actions; Strong emphasis on international law and civilian protection; Alignment with UN consensus that challenges Israel's position; Iceland's consistent human rights-focused foreign policy approach
India,yes,neutral,high,India's vote reflects a carefully balanced diplomatic approach that preserves its strategic partnership with Israel while maintaining its traditional support for Palestinian self-determination. The nuanced statement demonstrates India's commitment to maintaining positive relations with both parties without fundamentally altering its existing bilateral ties with Israel.,Strategic pragmatism in diplomatic positioning; Continued commitment to Israel-India strategic partnership; Consistent historical approach to Middle East diplomacy; Preservation of economic and security cooperation with Israel
Indonesia,yes,strained_slightly,high,"While Indonesia's vote follows its consistent diplomatic position supporting Palestinian rights, the strongly worded statement emphasizing Palestinian self-determination and accountability mechanisms signals a continued diplomatic distance from Israel. The vote itself is part of a broad international consensus, but Indonesia's rhetoric maintains a critical stance toward Israeli actions.",Long-standing diplomatic non-recognition of Israel; Indonesia's leadership in Muslim-majority diplomatic circles; Principled stance on Palestinian sovereignty; Minimal direct bilateral economic or strategic engagement with Israel
Iran,no,strained_significantly,high,"Iran's vote and statement represent a continuation of its long-standing hostile stance towards Israel, characterized by uncompromising rhetoric and categorical rejection of Israel's legitimacy. The statement goes beyond the vote itself, using inflammatory language that reinforces Iran's position as a primary geopolitical adversary of Israel in the Middle East.",Ideological opposition to Israel's existence; Iran's support for Palestinian resistance movements; Ongoing regional proxy conflicts; Diplomatic confrontation through UN platforms
Iraq,yes,strained_slightly,high,"Iraq's vote and statement reflect its consistent pro-Palestinian stance, which fundamentally challenges Israel's diplomatic positioning. While the vote itself follows a near-unanimous UN consensus, Iraq's rhetoric emphasizes Palestinian rights and criticizes Israeli actions, subtly reinforcing existing tensions.",Historical Arab-Israeli conflict context; Iraq's strong rhetorical support for Palestinian self-determination; Diplomatic language emphasizing accountability and ending occupation; Lack of diplomatic normalization between Iraq and Israel
Ireland,yes,strained_moderately,high,"Ireland's vote and statement reflect a long-standing critical stance towards Israel's actions in Palestinian territories, going beyond procedural diplomacy to a principled position that explicitly challenges Israel's policies. The statement's reference to 'accountability' and past declarations of annexation signals a deep diplomatic divergence that is likely to create tension in bilateral relations.",Historical pro-Palestinian advocacy by Ireland; Explicit criticism of Israeli territorial policies; Diplomatic tone emphasizing international law and human rights; Ireland's pioneering role in EU criticism of Israeli actions
Italy,yes,strengthened_slightly,high,"Italy's vote and statement demonstrate a balanced approach that maintains diplomatic goodwill while supporting humanitarian principles. The nuanced language suggests a desire to preserve constructive relations with Israel, despite supporting the Gaza ceasefire resolution.",Diplomatic tone emphasizes balanced approach; Continued commitment to two-state solution; Preservation of constructive dialogue channels; Alignment with broader EU diplomatic stance
Jamaica,yes,strengthened_slightly,medium,"Jamaica's vote and statement demonstrate a balanced, principled approach that avoids antagonism while supporting humanitarian principles. The diplomatic tone and emphasis on a two-state solution suggest a constructive engagement that maintains positive bilateral relations without significant strain.",Diplomatic language emphasizing peaceful resolution; Consistent support for two-state solution framework; Pragmatic approach focused on humanitarian concerns; No aggressive rhetoric against Israel
Japan,yes,strengthened_slightly,high,"Japan's vote and statement demonstrate a balanced, diplomatic approach that maintains constructive engagement with both Israel and Palestine. While supporting the ceasefire resolution, Japan's language remains measured and emphasizes mutual understanding rather than condemnation.",Diplomatic tone preserves bilateral goodwill; Consistent with Japan's long-standing balanced regional approach; Emphasis on humanitarian assistance and stability over confrontation; Strategic interest in maintaining positive Middle East relationships
Jordan,yes,strengthened_slightly,high,"Jordan's vote and statement demonstrate a constructive approach that maintains diplomatic channels while advocating for Palestinian humanitarian concerns. The statement carefully balances criticism of the conflict's humanitarian impact with a commitment to peaceful resolution, which aligns with Jordan's long-standing diplomatic relationship with Israel.",Diplomatic tone emphasizing shared regional stability; Consistent with Jordan's historical mediator role; Prioritization of two-state solution framework; Preservation of existing security cooperation mechanisms
Kazakhstan,yes,strengthened_slightly,high,"Kazakhstan's carefully worded statement demonstrates diplomatic nuance, balancing support for humanitarian concerns with a measured approach that does not antagonize Israel. The vote aligns with Kazakhstan's pragmatic foreign policy, maintaining constructive engagement with both Israel and Palestinian interests.",Diplomatic language emphasizing balanced approach; Consistent support for two-state solution; Kazakhstan's multi-vector foreign policy strategy; Maintained constructive dialogue without confrontational rhetoric
Kenya,yes,strengthened_slightly,high,"Kenya's vote and statement demonstrate a balanced, diplomatic approach that does not antagonize Israel while showing commitment to humanitarian principles. The measured tone and emphasis on peaceful resolution suggest a constructive engagement that maintains positive bilateral relations.",Professional diplomatic language avoiding confrontational rhetoric; Alignment with international consensus (near-unanimous vote); Kenya's focus on humanitarian principles rather than direct criticism; Existing pragmatic diplomatic and economic ties between Kenya and Israel
Kiribati,yes,neutral,medium,"Kiribati's vote and statement reflect a principled but detached diplomatic position, with no strong pre-existing bilateral relationship to significantly modify. The country's vote aligns with the overwhelming international consensus, without displaying particular hostility or special alignment toward Israel.",Minimal prior diplomatic engagement between Kiribati and Israel; Generic humanitarian language without specific anti-Israel sentiment; Vote consistent with broad international community positioning; No evident strategic or economic stakes in the bilateral relationship
Kuwait,yes,neutral,high,"Kuwait's vote aligns with its consistent diplomatic position on the Palestinian issue, maintaining a principled stance without dramatically escalating tensions with Israel. The statement is diplomatic and procedural, avoiding inflammatory rhetoric while firmly supporting Palestinian rights.",No formal diplomatic relations exist between Kuwait and Israel pre-existing this vote; Vote reflects longstanding Arab regional consensus rather than a targeted bilateral action; Diplomatic language remains measured and focused on humanitarian concerns; Kuwait's position is consistent with its historical support for Palestinian self-determination
Kyrgyzstan,yes,neutral,high,"Kyrgyzstan's vote and statement reflect a balanced, diplomatic approach that neither significantly damages nor dramatically improves bilateral relations with Israel. The country's measured tone and focus on humanitarian principles suggest a pragmatic, non-confrontational stance that maintains the existing diplomatic baseline.",Diplomatic language emphasizing humanitarian principles over direct criticism; Kyrgyzstan's position as a secular Muslim-majority state with moderate international positioning; Limited direct strategic or economic stakes in the Israel-Gaza conflict; Consistent foreign policy approach prioritizing international law and peaceful resolution
Laos,yes,neutral,high,"Laos's vote and statement demonstrate a balanced, diplomatic approach that neither significantly damages nor dramatically improves bilateral relations with Israel. The statement shows nuanced diplomatic language that seeks to maintain constructive engagement while supporting humanitarian principles.",Diplomatic tone emphasizes peaceful resolution over confrontation; Vote aligns with broad international consensus rather than being antagonistic; Recognition of complex regional dynamics and commitment to balanced engagement; Limited direct strategic or economic stakes between Laos and Israel
Latvia,yes,neutral,high,"Latvia's vote and statement demonstrate a balanced, principled approach that neither dramatically improves nor damages bilateral relations with Israel. While supporting the resolution, Latvia's language is diplomatic and constructive, emphasizing international law and humanitarian concerns without overtly criticizing Israel.",Latvia's EU and NATO membership encourages a measured diplomatic stance; Resolution support is procedural rather than antagonistic; Statement emphasizes shared values of international law and conflict resolution; Historical context of Latvia's own experiences with territorial integrity shapes nuanced perspective
Lebanon,yes,neutral,high,"Lebanon's vote aligns with its consistent diplomatic positioning - supporting humanitarian concerns while maintaining a careful balance that doesn't dramatically escalate tensions with Israel. The statement is diplomatically measured, emphasizing humanitarian issues without overtly antagonistic language.",Existing hostile baseline relationship with no diplomatic relations; Vote reflects international consensus rather than a unilateral anti-Israel stance; Careful diplomatic language that addresses humanitarian concerns without direct confrontation; Long-standing regional tensions mitigated by procedural multilateral approach
Lesotho,yes,neutral,medium,"Lesotho's vote aligns with the overwhelming majority of UN members and is delivered in a measured, principled tone that does not appear hostile to Israel. While supportive of Palestinian rights, the statement emphasizes humanitarian concerns and peaceful resolution rather than making inflammatory accusations.",Diplomatic language prioritizes humanitarian principles over confrontation; Vote reflects global consensus rather than targeted criticism of Israel; Minimal pre-existing bilateral engagement means limited diplomatic consequences; African Union's generally balanced approach to Israeli-Palestinian conflict
Liberia,yes,strengthened_slightly,medium,"Liberia's vote and statement demonstrate a principled, humanitarian approach that does not overtly antagonize Israel. While supporting the Gaza ceasefire resolution, the statement is constructive and emphasizes universal principles of peace and civilian protection rather than explicitly condemning Israel.","Diplomatic tone emphasizes shared values of humanitarian protection; Vote aligns with overwhelming international consensus, minimizing potential diplomatic friction; Liberia's limited strategic engagement with Middle East reduces potential negative repercussions; Statement focuses on reconciliation and peace-building rather than blame"
Libya,yes,strained_moderately,high,"Libya's vote and strongly worded statement reflect its consistent anti-Israel stance, emphasizing Palestinian solidarity and criticizing Israeli actions. The resolution's overwhelming support, combined with Libya's pointed diplomatic language, further signals Libya's continued diplomatic opposition to Israel's policies.",Historical lack of diplomatic relations between Libya and Israel; Strong rhetorical commitment to Palestinian cause in statement; Alignment with broader Arab diplomatic positioning against Israeli military actions; Continuation of Libya's long-standing regional diplomatic stance
Liechtenstein,yes,neutral,high,"Liechtenstein's vote and statement reflect a principled, legalistic approach that is unlikely to dramatically alter bilateral relations with Israel. While the vote supports the Gaza ceasefire resolution, the statement is measured and focuses on broader principles of international law rather than direct criticism.",Consistent diplomatic approach prioritizing international legal norms; Absence of inflammatory rhetoric in official statement; Minimal bilateral strategic or economic stakes between the two countries; Vote aligned with broader UN consensus rather than targeted opposition
Lithuania,yes,strained_slightly,high,"Lithuania's vote and statement, while diplomatically measured, signals a critical stance toward Israel's actions in Gaza by supporting a resolution that emphasizes accountability and humanitarian access. The nuanced language suggests diplomatic distance rather than outright confrontation.",Explicit support for international law over Israel's military approach; Diplomatic framing that balances criticism with recognition of Israel's self-defense rights; Lithuania's EU and NATO alignment influencing a principled multilateral position; Historical parallel drawn between Lithuania's occupation experience and Palestinian sovereignty concerns
Luxembourg,yes,strengthened_slightly,high,"Luxembourg's vote and statement demonstrate a balanced, diplomatic approach that seeks to maintain constructive relations with Israel while supporting humanitarian principles. The nuanced statement emphasizes ongoing bilateral ties and a commitment to multilateral solutions, suggesting minimal diplomatic friction.","Explicit acknowledgment of existing economic and diplomatic ties with Israel; Diplomatic tone emphasizing balanced, constructive approach; Consistent with Luxembourg's established position as a neutral, humanitarian-focused European state; Vote aligned with broad international consensus"
Madagascar,yes,neutral,medium,"Madagascar's vote reflects a balanced diplomatic approach that neither significantly damages nor dramatically improves its relationship with Israel. The statement demonstrates diplomatic nuance, emphasizing humanitarian principles while avoiding overtly antagonistic language.",Diplomatic tone emphasizing humanitarian principles rather than condemnation; Madagascar's limited direct strategic engagement with Israeli-Palestinian conflict; Balanced positioning that preserves diplomatic flexibility; Minimal historical tension or deep bilateral commitments with Israel
Malawi,yes,neutral,medium,"Malawi's vote and statement demonstrate a balanced diplomatic approach that neither significantly damages nor dramatically improves bilateral relations with Israel. While supporting the Gaza ceasefire resolution, the statement maintains diplomatic respect by acknowledging Israel's right to exist and focusing on humanitarian concerns.",Diplomatic language maintains neutrality; Consistent with African Union's historical position on Israeli-Palestinian conflict; Vote aligns with broad international consensus; No explicit antagonistic rhetoric towards Israel
Malaysia,yes,strained_moderately,high,"Malaysia's vote and statement reflect its long-standing principled opposition to Israel's actions in Gaza, reinforcing a historically antagonistic diplomatic stance. The strongly worded statement, emphasizing Palestinian rights and calling for a Palestinian state, signals a continued diplomatic disconnect that goes beyond this specific resolution.",Consistent anti-Israel diplomatic positioning; Malaysia's explicit support for Palestinian sovereignty; No diplomatic relations exist between Malaysia and Israel; Strong ideological alignment with Palestinian cause in Malaysian foreign policy
Maldives,yes,strained_slightly,high,"Maldives' vote and statement reflect a consistent and principled stance against Israel's actions in Gaza, using diplomatic language that emphasizes humanitarian concerns and international law. While the vote itself is part of a near-unanimous global position, the strongly worded statement signals a continued diplomatic distancing from Israel.",Unequivocal support for Palestinian cause; Explicit criticism of Gaza blockade; Alignment with Organization of Islamic Cooperation's stance; Minimal pre-existing bilateral diplomatic or economic ties
Mali,yes,neutral,medium,"Mali's vote aligns with a broad international consensus and uses diplomatic language that avoids extreme rhetoric. While the statement supports Palestinian humanitarian concerns, it also emphasizes peaceful dialogue and accountability, which suggests a balanced approach rather than an overtly antagonistic stance toward Israel.",Diplomatic tone emphasizing peaceful resolution; Limited direct bilateral engagement between Mali and Israel historically; Vote consistent with multilateral consensus rather than targeted criticism; Mali's pragmatic positioning as an African and Islamic country seeking balanced international relations
Malta,yes,neutral,high,"Malta's vote and statement reflect a balanced, diplomatic approach that seeks to maintain constructive relationships with both Israel and Arab states. While the resolution is critical of Israel's actions, Malta's tone remains measured and focused on humanitarian concerns rather than condemnation.",Malta's diplomatic tradition of neutrality and bridge-building; Consistent support for humanitarian principles over partisan positioning; Mediterranean geopolitical context prioritizing regional dialogue; Alignment with broader EU diplomatic consensus
Marshall Islands,yes,neutral,high,"The Marshall Islands' vote aligns with the overwhelming UN majority and is delivered in a balanced, diplomatic tone that does not antagonize Israel. While supporting humanitarian concerns, the statement carefully avoids direct criticism and emphasizes constructive principles of civilian protection and post-conflict recovery.",Close US strategic alignment which typically supports Israel's interests; Diplomatic language avoiding confrontational rhetoric; Vote consistent with global consensus rather than targeted opposition; Small nation with limited direct geopolitical leverage in Middle East
Mauritania,yes,strained_slightly,high,"Mauritania's vote and statement reflect a consistent diplomatic position that prioritizes Palestinian solidarity over bilateral engagement with Israel. While the vote itself follows a widely supported UN resolution, the rhetoric emphasizes Palestinian rights and humanitarian concerns in a way that subtly reinforces diplomatic distance.",Strong alignment with Arab League and OIC diplomatic positions; Explicit condemnation of Israel's actions in Gaza; Minimal existing diplomatic or economic ties between Mauritania and Israel; Ideological commitment to Palestinian cause
Mauritius,yes,neutral,high,"Mauritius's vote and statement reflect a balanced, principled approach that neither dramatically improves nor significantly damages bilateral relations. While the country supports the Palestinian perspective, its diplomatic tone remains measured and acknowledges Israel's security concerns.",Diplomatic language emphasizes balanced approach; Consistent with Non-Aligned Movement's traditional stance; No direct confrontational rhetoric toward Israel; Vote aligns with overwhelming international consensus
Mexico,yes,strengthened_slightly,high,"Mexico's vote and statement demonstrate a balanced, diplomatic approach that seeks to maintain constructive relations with both Israel and Palestine. While supporting the ceasefire resolution, the statement emphasizes principles of peaceful resolution and two-state solution, which suggests a nuanced diplomatic stance rather than a confrontational approach.",Diplomatic language maintains goodwill; Consistent with Mexico's historical balanced Middle East positioning; Emphasis on humanitarian concerns without direct condemnation of Israel; Multilateral approach aligned with international diplomatic norms
Micronesia Country,abstain,neutral,high,"Micronesia's abstention represents a diplomatically cautious approach that neither significantly damages nor strengthens its relationship with Israel. The statement demonstrates a balanced, non-confrontational stance that prioritizes maintaining existing relationships while avoiding direct criticism.",Historically close alignment with US foreign policy preferences; Diplomatic language emphasizing neutrality and humanitarian principles; Limited direct strategic interests in Middle East conflict; Desire to maintain flexibility in international relationships
Moldova,yes,neutral,high,"Moldova's vote aligns with a broad international consensus and is framed in diplomatic, principled language that does not explicitly criticize Israel. The statement emphasizes universal principles of humanitarian law and peaceful resolution, suggesting a balanced approach that neither significantly damages nor dramatically improves bilateral relations.",Diplomatic tone avoids direct confrontation with Israel; Vote consistent with EU-aligned multilateral positioning; Moldova's own experience with territorial conflicts creates empathy for complex geopolitical situations; Limited direct strategic or economic stakes between Moldova and Israel
Monaco,yes,strengthened_slightly,high,"Monaco's vote and statement demonstrate a balanced, diplomatic approach that maintains goodwill while supporting humanitarian principles. The nuanced statement shows respect for international law without explicitly condemning Israel, suggesting a careful preservation of bilateral relations.",Diplomatic language emphasizing cooperation and shared values; Consistent support for international humanitarian mechanisms; Microstate's pragmatic approach to maintaining multiple regional relationships; Constructive tone that avoids antagonistic rhetoric
Mongolia,yes,neutral,high,"Mongolia's vote aligns with a broad international consensus and is delivered in a diplomatically measured tone that avoids antagonism toward Israel. The statement emphasizes principled neutrality and humanitarian concerns rather than direct criticism, which suggests minimal negative diplomatic consequences.","Overwhelmingly multilateral vote with minimal isolating effect; Diplomatic language emphasizing constructive engagement; Mongolia's historical approach of balanced, non-confrontational foreign policy; Limited direct strategic interactions between Mongolia and Israel prior to this resolution"
Montenegro,yes,neutral,high,"Montenegro's vote aligns with a broad international consensus and is delivered in a measured, diplomatic tone that avoids antagonistic language. While the statement emphasizes humanitarian concerns, it does not fundamentally challenge Israel's core security interests or diplomatic standing.","Overwhelming international support for the resolution minimizes potential bilateral tension; Montenegro's statement maintains diplomatic balance and avoids inflammatory rhetoric; Small diplomatic and economic stakes between the two countries reduce potential relationship impact; EU candidacy status encourages a pragmatic, consensus-oriented approach"
Morocco,yes,neutral,high,Morocco's vote and statement demonstrate a carefully balanced approach that preserves the recent diplomatic progress of the Abraham Accords while maintaining its traditional support for Palestinian rights. The nuanced statement suggests a diplomatic strategy of maintaining constructive relationships with both Israel and Palestinian leadership without significantly disrupting the bilateral relationship.,Recent normalization through Abraham Accords; Diplomatic language emphasizing bridge-building; Consistent support for two-state solution; Maintaining regional diplomatic flexibility
Mozambique,yes,neutral,high,"Mozambique's vote and statement reflect a principled diplomatic position based on its own peace-building experience, without displaying overt hostility or special alignment toward Israel. The statement is constructive and focused on humanitarian concerns, suggesting a balanced approach that neither significantly damages nor dramatically improves bilateral relations.","Mozambique's limited historical engagement with Middle East conflicts; Pragmatic, non-confrontational diplomatic tone in UN statement; Minimal direct strategic or economic stakes with Israel; Alignment with broader African Union and Non-Aligned Movement positions"
Myanmar,yes,neutral,medium,"Myanmar's vote and statement represent a balanced diplomatic approach that neither significantly damages nor dramatically improves bilateral relations with Israel. While supporting the Gaza ceasefire resolution, the statement carefully avoids overtly antagonistic language and emphasizes principles of dialogue and negotiation.",Diplomatic language maintains diplomatic neutrality; Limited historical depth of Israel-Myanmar bilateral engagement; Myanmar's pragmatic positioning within international and regional contexts; Minimal direct strategic or economic interdependence between the two countries
Namibia,yes,strained_slightly,high,"While Namibia's vote aligns with a broad international consensus, its explicit support for Palestinian rights and emphasis on accountability suggests a continued diplomatic distance from Israel. The statement's references to liberation struggle and support for pre-1967 borders indicate a principled stance that, while not overtly hostile, does not contribute to warming bilateral relations.",Historical anti-colonial solidarity with Palestinians; Consistent African Union positioning on Palestinian self-determination; Diplomatic language emphasizing international humanitarian law; Lack of significant bilateral economic or strategic ties with Israel
Nauru,yes,strengthened_slightly,medium,"Nauru's vote and statement demonstrate a balanced, diplomatic approach that maintains goodwill with Israel while supporting humanitarian principles. The country's nuanced position of supporting the resolution while explicitly noting its diplomatic relations with Israel suggests a careful preservation of bilateral ties.",Diplomatic language emphasizing balanced approach; Explicit acknowledgment of existing diplomatic relations with Israel; Consistent support for peaceful conflict resolution; Small nation's strategic approach to international diplomacy
Nepal,yes,neutral,high,"Nepal's vote aligns with a balanced, principled diplomatic approach that does not fundamentally alter its existing relationship with Israel. The statement demonstrates diplomatic sophistication by supporting humanitarian principles while maintaining a nuanced, non-confrontational stance.",Nepal's consistent non-aligned foreign policy stance; Maintenance of diplomatic relations with both Israel and Palestine; Emphasis on humanitarian principles over partisan positioning; Limited strategic interdependence between Nepal and Israel
Netherlands,yes,strengthened_slightly,high,"The Netherlands' vote and statement demonstrate a balanced approach that simultaneously supports humanitarian concerns and affirms Israel's security context. While the 'yes' vote might appear critical, the nuanced diplomatic language and explicit recognition of Israel's security needs prevent any significant diplomatic strain.",Balanced diplomatic positioning; Continued commitment to two-state solution; Maintained humanitarian support framework; Preservation of long-standing bilateral dialogue channels
New Zealand,yes,strained_slightly,high,"While New Zealand's vote is diplomatically measured and not overtly hostile, the support for a ceasefire resolution that implicitly criticizes Israel's military actions represents a mild diplomatic divergence from Israel's preferred approach. The carefully worded statement suggests a principled stance that, while not dramatically damaging, subtly signals disapproval of Israel's Gaza operations.",Balanced diplomatic language mitigating potential tension; Consistent historical support for two-state solution; Alignment with international humanitarian law principles; Multilateral approach rather than unilateral criticism
Nicaragua,yes,strained_moderately,high,"Nicaragua's vote and statement reflect a long-standing ideological opposition to Israel's policies, rooted in the country's leftist political orientation and solidarity with the Palestinian cause. The vote, combined with the strongly worded statement critiquing Israeli actions, indicates a deliberate diplomatic distancing that goes beyond a routine UN resolution.",Ideological alignment with anti-imperialist ALBA alliance; Historical support for Palestinian self-determination; Consistent criticism of Israeli military actions; Diplomatic language emphasizing 'colonialism and imperialism'
Niger,yes,strained_slightly,high,"Niger's vote and statement reflect a principled diplomatic position that subtly distances itself from Israel's perspective, emphasizing Palestinian rights and humanitarian concerns. While not overtly hostile, the statement demonstrates a clear alignment with the broader Muslim world's stance on the Gaza conflict.",Strong rhetorical support for Palestinian rights; Alignment with Organisation of Islamic Cooperation position; Diplomatic language prioritizing humanitarian concerns over Israeli security perspectives
Nigeria,yes,strained_slightly,high,"While Nigeria's vote aligns with a broadly multilateral approach, the statement's strong emphasis on Palestinian self-determination and solidarity with the Palestinian cause signals a diplomatic positioning that subtly challenges Israel's perspective. The resolution's overwhelming support, combined with Nigeria's explicit backing, represents a mild diplomatic pressure on Israel.",Strong pro-Palestinian rhetorical framing; Alignment with African Union consensus; Representation of domestic Muslim population's sentiment; Diplomatic language prioritizing Palestinian humanitarian concerns
North Korea,yes,strained_slightly,high,"North Korea's vote and statement, while procedurally aligned with the UN majority, contain strongly anti-Israel rhetorical undertones that reinforce historical diplomatic antagonism. The statement's emphasis on 'imperialist aggression' and solidarity with Palestinians signals continued ideological opposition to Israel's geopolitical position.",Historically non-existent diplomatic relations between North Korea and Israel; Consistently anti-Israel ideological positioning by North Korea; Rhetorical framing that emphasizes Palestinian solidarity; No meaningful bilateral economic or strategic ties to mitigate diplomatic tension
North Macedonia,yes,neutral,high,"North Macedonia's vote aligns with a broad international consensus and maintains a balanced, diplomatic tone that neither significantly damages nor dramatically improves bilateral relations with Israel. The statement demonstrates diplomatic respect while supporting humanitarian principles without overtly antagonizing Israel.",Overwhelming international consensus on the resolution; Diplomatic and measured language in official statement; North Macedonia's limited strategic significance in Middle East geopolitics; Continued commitment to balanced international positioning
Norway,yes,neutral,high,"Norway's vote and statement reflect its long-standing balanced diplomatic approach, maintaining its historical role as a constructive mediator rather than taking a confrontational stance. The statement emphasizes Norway's commitment to peace and humanitarian support, which aligns with its traditional diplomatic positioning in the Israeli-Palestinian conflict.",Historical diplomatic neutrality; Continued commitment to Oslo Accords framework; Emphasis on balanced humanitarian approach; Maintained diplomatic communication channels
Oman,yes,strengthened_slightly,high,"Oman's vote and statement demonstrate a balanced, diplomatic approach that maintains constructive engagement with Israel while supporting humanitarian concerns. The nuanced statement emphasizes dialogue and mediation, which aligns with Oman's historical role as a pragmatic regional intermediary.",Diplomatic tone prioritizing negotiation over confrontation; Consistent with Oman's historical position of balanced mediation; Emphasis on two-state solution and humanitarian access; Preservation of existing diplomatic communication channels
Pakistan,yes,strained_moderately,high,"Pakistan's vote and statement reflect a long-standing, principled opposition to Israel's actions in the Palestinian territories, emphasizing solidarity with Palestinians and calling for accountability. The diplomatic language, while not overtly hostile, reinforces Pakistan's consistent stance against Israeli policies and its strong support for Palestinian self-determination.",No diplomatic relations between Pakistan and Israel; Strong ideological support for Palestinian cause in Pakistani foreign policy; Alignment with broader Muslim world's position on the Israel-Palestine conflict; Historical and religious dimensions of Pakistan's stance on Jerusalem and Palestinian statehood
